# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.8900,6.2200,0.3000,0.3000
-1.8900,6.2700,0.3028,0.3028
-1.8900,6.3200,0.3110,0.3110
-1.8900,6.3700,0.3243,0.3243
-1.8900,6.4200,0.3424,0.3424
-1.8900,6.4700,0.3424,0.3424
-1.8400,6.5200,0.3000,0.3000
-1.8400,6.5700,0.3000,0.3000
-1.8400,6.6200,0.3028,0.3028
-1.8400,6.6700,0.3110,0.3110
-1.8400,6.7200,0.2972,0.2972
-1.7900,6.7700,0.2972,0.2972
-1.7900,6.8200,0.2972,0.2972
-1.7900,6.8700,0.2772,0.2772
-1.7400,6.9200,0.3110,0.3110
-1.7400,6.9700,0.3028,0.3028
-1.7400,7.0200,0.2972,0.2972
-1.6900,7.0700,0.3110,0.3110
-1.6400,7.1200,0.2972,0.2972
-1.6400,7.1700,0.2972,0.2972
-1.6400,7.2200,0.2772,0.2772
-1.5900,7.2700,0.2972,0.2972
-1.5900,7.3200,0.2972,0.2972
-1.5400,7.3700,0.3110,0.3110
-1.5400,7.4200,0.2972,0.2972
-1.4900,7.4700,0.3110,0.3110
-1.4900,7.5200,0.2972,0.2972
-1.4400,7.5700,0.2972,0.2972
-1.4400,7.6200,0.2801,0.2801
-1.3900,7.6700,0.2972,0.2972
-1.3400,7.7200,0.2972,0.2972
-1.3400,7.7700,0.2972,0.2972
-1.3400,7.8200,0.2772,0.2772
-1.2900,7.8700,0.3110,0.3110
-1.2900,7.9200,0.2972,0.2972
-1.2400,7.9700,0.3217,0.3217
-1.1900,8.0200,0.3217,0.3217
-1.1900,8.0700,0.3110,0.3110
-1.1400,8.1200,0.3217,0.3217
-1.1400,8.1700,0.2972,0.2972
-1.0900,8.2200,0.3217,0.3217
-1.0900,8.2700,0.2972,0.2972
-1.0400,8.3200,0.3217,0.3217
-1.0400,8.3700,0.2972,0.2972
-0.9900,8.4200,0.3217,0.3217
-0.9900,8.4700,0.2972,0.2972
-0.9400,8.5200,0.3217,0.3217
-0.9400,8.5700,0.2972,0.2972
-0.8900,8.6200,0.3217,0.3217
-0.8900,8.6700,0.2972,0.2972
-0.8400,8.7200,0.3217,0.3217
-0.8400,8.7700,0.2972,0.2972
-0.7900,8.8200,0.3217,0.3217
-0.7900,8.8700,0.3110,0.3110
-0.7400,8.9200,0.3217,0.3217
-0.7400,8.9700,0.2972,0.2972
-0.6900,9.0200,0.3110,0.3110
-0.6900,9.0700,0.2972,0.2972
-0.6400,9.1200,0.2972,0.2972
-0.6400,9.1700,0.2972,0.2972
-0.5900,9.2200,0.2972,0.2972
-0.5900,9.2700,0.2972,0.2972
-0.5400,9.3200,0.2972,0.2972
-0.5400,9.3700,0.3110,0.3110
-0.4900,9.4200,0.2972,0.2972
-0.4900,9.4700,0.2972,0.2972
-0.4400,9.5200,0.2972,0.2972
-0.4400,9.5700,0.2972,0.2972
-0.4400,9.6200,0.2772,0.2772
-0.3900,9.6700,0.3110,0.3110
-0.3900,9.7200,0.2972,0.2972
-0.3400,9.7700,0.2972,0.2972
-0.3400,9.8200,0.2972,0.2972
-0.3400,9.8700,0.2772,0.2772
-0.2900,9.9200,0.3110,0.3110
-0.2900,9.9700,0.2972,0.2972
-0.2400,10.0200,0.3110,0.3110
-0.2400,10.0700,0.2972,0.2972
-0.1900,10.1200,0.2972,0.2972
-0.1900,10.1700,0.2972,0.2972
-0.1900,10.2200,0.2772,0.2772
-0.1400,10.2700,0.3110,0.3110
-0.0900,10.3200,0.3217,0.3217
-0.0900,10.3700,0.3217,0.3217
-0.0400,10.4200,0.3217,0.3217
-0.0400,10.4700,0.3217,0.3217
0.0100,10.5200,0.3217,0.3217
0.0100,10.5700,0.3243,0.3243
0.0600,10.6200,0.3424,0.3424
0.0600,10.6700,0.3217,0.3217
0.1100,10.7200,0.3424,0.3424
0.1100,10.7700,0.3243,0.3243
0.1600,10.8200,0.3424,0.3424
0.1600,10.8700,0.3424,0.3424
0.2100,10.9200,0.3424,0.3424
0.2100,10.9700,0.3424,0.3424
0.2600,11.0200,0.3243,0.3243
0.2600,11.0700,0.3424,0.3424
0.2600,11.1200,0.3243,0.3243
0.3100,11.1700,0.3243,0.3243
0.3100,11.2200,0.3424,0.3424
0.3100,11.2700,0.3217,0.3217
0.3600,11.3200,0.3424,0.3424
0.3600,11.3700,0.3243,0.3243
0.4100,11.4200,0.3424,0.3424
0.4100,11.4700,0.3500,0.3500
0.4600,11.5200,0.3424,0.3424
0.4600,11.5700,0.3424,0.3424
0.5100,11.6200,0.3424,0.3424
0.5100,11.6700,0.3424,0.3424
0.5600,11.7200,0.3500,0.3500
0.5600,11.7700,0.3424,0.3424
0.6100,11.8200,0.3648,0.3648
0.6100,11.8700,0.3424,0.3424
0.6600,11.9200,0.3648,0.3648
0.6600,11.9700,0.3424,0.3424
0.7100,12.0200,0.3720,0.3720
0.7600,12.0700,0.3648,0.3648
0.7600,12.1200,0.3648,0.3648
0.7600,12.1700,0.3424,0.3424
0.8100,12.2200,0.3720,0.3720
0.8100,12.2700,0.3599,0.3599
0.8600,12.3200,0.3885,0.3885
0.8600,12.3700,0.3648,0.3648
0.9100,12.4200,0.3885,0.3885
0.9100,12.4700,0.3720,0.3720
0.9600,12.5200,0.3885,0.3885
0.9600,12.5700,0.3885,0.3885
1.0100,12.6200,0.3885,0.3885
1.0100,12.6700,0.3908,0.3908
1.0600,12.7200,0.3720,0.3720
1.1100,12.7700,0.3424,0.3424
1.1100,12.8200,0.3450,0.3450
1.1600,12.8700,0.3450,0.3450
1.2100,12.9200,0.3424,0.3424
1.2100,12.9700,0.3217,0.3217
1.2600,13.0200,0.3424,0.3424
1.3100,13.0700,0.3243,0.3243
1.3100,13.1200,0.3110,0.3110
1.3600,13.1700,0.3217,0.3217
1.3600,13.2200,0.2972,0.2972
1.4100,13.2700,0.3217,0.3217
1.4100,13.3200,0.2972,0.2972
1.4600,13.3700,0.3217,0.3217
1.4600,13.4200,0.2972,0.2972
1.5100,13.4700,0.3110,0.3110
1.5100,13.5200,0.3110,0.3110
1.5100,13.5700,0.3028,0.3028
1.5100,13.6200,0.3000,0.3000
1.5100,13.6700,0.3000,0.3000
1.5100,13.7200,0.3000,0.3000
1.5600,13.7700,0.3500,0.3500
1.5600,13.8200,0.3500,0.3500
1.5600,13.8700,0.3500,0.3500
1.5600,13.9200,0.3500,0.3500
1.6100,13.9700,0.4000,0.4000
1.6100,14.0200,0.4000,0.4000
1.6100,14.0700,0.4000,0.4000
1.6100,14.1200,0.4000,0.4000
1.6100,14.1700,0.4000,0.4000
1.6100,14.2200,0.4000,0.4000
1.6100,14.2700,0.4000,0.4000
1.5600,14.3200,0.4500,0.4500
1.5600,14.3700,0.4500,0.4500
1.5600,14.4200,0.4500,0.4500
1.5100,14.4700,0.4765,0.4765
1.4600,14.5200,0.4542,0.4542
1.4100,14.5700,0.4331,0.4331
1.4100,14.6200,0.4331,0.4331
1.3600,14.6700,0.4201,0.4201
1.3100,14.6700,0.4157,0.4157
1.2600,14.7200,0.4157,0.4157
1.2100,14.7700,0.4157,0.4157
1.1600,14.8200,0.4090,0.4090
1.1100,14.8700,0.3885,0.3885
1.0600,14.8700,0.3908,0.3908
1.0100,14.9200,0.3885,0.3885
0.9600,14.9200,0.3885,0.3885
0.9100,14.9200,0.3720,0.3720
0.8600,14.9700,0.3885,0.3885
0.8100,14.9700,0.3885,0.3885
0.7600,14.9700,0.3720,0.3720
0.7100,14.9700,0.3599,0.3599
0.6600,14.9700,0.3525,0.3525
0.6100,15.0200,0.4000,0.4000
0.5600,14.9700,0.3500,0.3500
0.5100,14.9700,0.3500,0.3500
0.4600,14.9700,0.3500,0.3500
0.4100,14.9700,0.3500,0.3500
0.3600,14.9700,0.3525,0.3525
0.3100,14.9700,0.3599,0.3599
0.2600,14.9700,0.3720,0.3720
0.2100,14.9200,0.3424,0.3424
0.1600,14.9200,0.3648,0.3648
0.1100,14.9200,0.3648,0.3648
0.0600,14.8700,0.3648,0.3648
0.0100,14.8700,0.3720,0.3720
-0.0400,14.8200,0.3815,0.3815
-0.0900,14.7700,0.3815,0.3815
-0.1400,14.7200,0.3815,0.3815
-0.1900,14.6700,0.3815,0.3815
-0.2400,14.6200,0.3815,0.3815
-0.2900,14.5700,0.3720,0.3720
-0.3400,14.5200,0.3424,0.3424
-0.3400,14.4700,0.3450,0.3450
-0.3900,14.4200,0.3424,0.3424
-0.4400,14.3700,0.3217,0.3217
-0.4400,14.3200,0.3424,0.3424
-0.4900,14.2700,0.3217,0.3217
-0.4900,14.2200,0.3424,0.3424
-0.4900,14.1700,0.3243,0.3243
-0.5400,14.1200,0.3500,0.3500
-0.5400,14.0700,0.3424,0.3424
-0.5900,14.0200,0.3720,0.3720
-0.5900,13.9700,0.3599,0.3599
-0.6400,13.9200,0.3648,0.3648
-0.6400,13.8700,0.3648,0.3648
-0.6900,13.8200,0.3720,0.3720
-0.7400,13.7700,0.3424,0.3424
-0.7400,13.7200,0.3648,0.3648
-0.7900,13.6700,0.3424,0.3424
-0.7900,13.6200,0.3648,0.3648
-0.8400,13.5700,0.3500,0.3500
-0.8400,13.5200,0.3500,0.3500
-0.8900,13.4700,0.3648,0.3648
-0.9400,13.4200,0.3500,0.3500
-0.9400,13.3700,0.3500,0.3500
-0.9900,13.3200,0.3648,0.3648
-1.0400,13.2700,0.3424,0.3424
-1.0400,13.2200,0.3500,0.3500
-1.0900,13.1700,0.3500,0.3500
-1.0900,13.1200,0.3424,0.3424
-1.1400,13.0700,0.3648,0.3648
-1.1900,13.0200,0.3424,0.3424
-1.1900,12.9700,0.3500,0.3500
-1.2400,12.9200,0.3424,0.3424
-1.2400,12.8700,0.3424,0.3424
-1.2900,12.8200,0.3500,0.3500
-1.3400,12.7700,0.3424,0.3424
-1.3400,12.7200,0.3424,0.3424
-1.3900,12.6700,0.3500,0.3500
-1.4400,12.6200,0.3424,0.3424
-1.4400,12.5700,0.3424,0.3424
-1.4900,12.5200,0.3500,0.3500
-1.4900,12.4700,0.3424,0.3424
-1.5400,12.4200,0.3500,0.3500
-1.5900,12.3700,0.3243,0.3243
-1.5900,12.3200,0.3424,0.3424
-1.6400,12.2700,0.3110,0.3110
-1.6400,12.2200,0.3217,0.3217
-1.6900,12.1700,0.2972,0.2972
-1.6900,12.1200,0.3110,0.3110
-1.7400,12.0700,0.2972,0.2972
-1.7400,12.0200,0.2972,0.2972
-1.7900,11.9700,0.3110,0.3110
-1.7900,11.9200,0.2972,0.2972
-1.8400,11.8700,0.2972,0.2972
-1.8900,11.8200,0.2623,0.2623
-1.8900,11.7700,0.2772,0.2772
-1.9400,11.7200,0.2531,0.2531
-1.9400,11.6700,0.2772,0.2772
-1.9900,11.6200,0.2531,0.2531
-1.9900,11.5700,0.2772,0.2772
-1.9900,11.5200,0.2623,0.2623
-2.0400,11.4700,0.2772,0.2772
-2.0400,11.4200,0.2772,0.2772
-2.0900,11.3700,0.2623,0.2623
-2.0900,11.3200,0.2772,0.2772
-2.1400,11.2700,0.2531,0.2531
-2.1400,11.2200,0.2772,0.2772
-2.1900,11.1700,0.2531,0.2531
-2.1900,11.1200,0.2772,0.2772
-2.1900,11.0700,0.2623,0.2623
-2.2400,11.0200,0.2772,0.2772
-2.2400,10.9700,0.2772,0.2772
-2.2900,10.9200,0.2623,0.2623
-2.2900,10.8700,0.2772,0.2772
-2.3400,10.8200,0.2531,0.2531
-2.3400,10.7700,0.2772,0.2772
-2.3400,10.7200,0.2623,0.2623
-2.3900,10.6700,0.2772,0.2772
-2.3900,10.6200,0.2772,0.2772
-2.4400,10.5700,0.2801,0.2801
-2.4400,10.5200,0.2772,0.2772
-2.4900,10.4700,0.2972,0.2972
-2.5400,10.4200,0.2801,0.2801
-2.5400,10.3700,0.2972,0.2972
-2.5900,10.3200,0.2972,0.2972
-2.6400,10.2700,0.2801,0.2801
-2.6400,10.2200,0.2972,0.2972
-2.6900,10.1700,0.2972,0.2972
-2.7400,10.1200,0.2801,0.2801
-2.7400,10.0700,0.2972,0.2972
-2.7900,10.0200,0.2623,0.2623
-2.7900,9.9700,0.2772,0.2772
-2.7900,9.9200,0.2743,0.2743
-2.8400,9.8700,0.2801,0.2801
-2.8900,9.8200,0.2743,0.2743
-2.8900,9.7700,0.2772,0.2772
-2.9400,9.7200,0.2972,0.2972
-2.9900,9.6700,0.2772,0.2772
-2.9900,9.6200,0.2801,0.2801
-3.0400,9.5700,0.2772,0.2772
-3.0400,9.5200,0.2772,0.2772
-3.0900,9.4700,0.2623,0.2623
-3.0900,9.4200,0.2772,0.2772
-3.0900,9.3700,0.2772,0.2772
-3.1400,9.3200,0.2801,0.2801
-3.1400,9.2700,0.2743,0.2743
-3.1900,9.2200,0.2801,0.2801
-3.2400,9.1700,0.2623,0.2623
-3.2400,9.1200,0.2772,0.2772
-3.2900,9.0700,0.2531,0.2531
-3.2900,9.0200,0.2772,0.2772
-3.3400,8.9700,0.2531,0.2531
-3.3400,8.9200,0.2772,0.2772
-3.3900,8.8700,0.2531,0.2531
-3.3900,8.8200,0.2772,0.2772
-3.4400,8.7700,0.2531,0.2531
-3.4400,8.7200,0.2772,0.2772
-3.4400,8.6700,0.2623,0.2623
-3.4900,8.6200,0.2772,0.2772
-3.4900,8.5700,0.2772,0.2772
-3.5400,8.5200,0.2772,0.2772
-3.5400,8.4700,0.2772,0.2772
-3.5900,8.4200,0.2801,0.2801
-3.5900,8.3700,0.2972,0.2972
-3.6400,8.3200,0.2972,0.2972
-3.6400,8.2700,0.3110,0.3110
-3.6900,8.2200,0.2972,0.2972
-3.6900,8.1700,0.3217,0.3217
-3.7400,8.1200,0.2972,0.2972
-3.7400,8.0700,0.3217,0.3217
-3.7400,8.0200,0.3110,0.3110
-3.7900,7.9700,0.3243,0.3243
-3.7900,7.9200,0.3243,0.3243
-3.8400,7.8700,0.3028,0.3028
