# x_m,y_m,w_tr_right_m,w_tr_left_m
2.8500,33.8500,0.4000,0.4000
2.9000,33.8000,0.3765,0.3765
2.9000,33.7500,0.4019,0.4019
2.9000,33.7000,0.4227,0.4227
2.9500,33.6500,0.4227,0.4227
2.9500,33.6000,0.4019,0.4019
3.0000,33.5500,0.4208,0.4208
3.0500,33.5000,0.4301,0.4301
3.1000,33.5000,0.4301,0.4301
3.1500,33.5000,0.4019,0.4019
3.2000,33.4500,0.4208,0.4208
3.2500,33.4000,0.4464,0.4464
3.3000,33.3500,0.4780,0.4780
3.3500,33.3500,0.4659,0.4659
3.4000,33.3500,0.4571,0.4571
3.4500,33.3500,0.4518,0.4518
3.5000,33.3000,0.5000,0.5000
3.5500,33.2500,0.5000,0.5000
3.6000,33.2500,0.5017,0.5017
3.6500,33.2500,0.5066,0.5066
3.7000,33.2500,0.5066,0.5066
3.7500,33.2000,0.4780,0.4780
3.8000,33.2000,0.4933,0.4933
3.8500,33.2000,0.5000,0.5000
3.9000,33.2000,0.5000,0.5000
3.9500,33.2000,0.5000,0.5000
4.0000,33.2000,0.5000,0.5000
4.0500,33.2000,0.5000,0.5000
4.1000,33.2000,0.5017,0.5017
4.1500,33.2000,0.5017,0.5017
4.2000,33.2000,0.5000,0.5000
4.2500,33.2000,0.5000,0.5000
4.3000,33.1500,0.4933,0.4933
4.3500,33.1500,0.5000,0.5000
4.4000,33.1500,0.5000,0.5000
4.4500,33.1500,0.5000,0.5000
4.5000,33.1500,0.5000,0.5000
4.5500,33.1500,0.5000,0.5000
4.6000,33.1500,0.5000,0.5000
4.6500,33.1500,0.5000,0.5000
4.7000,33.1500,0.5000,0.5000
4.7500,33.1500,0.5000,0.5000
4.8000,33.1000,0.4780,0.4780
4.8500,33.1000,0.4933,0.4933
4.9000,33.1000,0.5017,0.5017
4.9500,33.1000,0.5066,0.5066
5.0000,33.1000,0.5066,0.5066
5.0500,33.1000,0.5017,0.5017
5.1000,33.1000,0.5000,0.5000
5.1500,33.1000,0.5000,0.5000
5.2000,33.1000,0.5000,0.5000
5.2500,33.1000,0.5000,0.5000
5.3000,33.1000,0.4933,0.4933
5.3500,33.0500,0.5066,0.5066
5.4000,33.0500,0.5149,0.5149
5.4500,33.0500,0.5066,0.5066
5.5000,33.0500,0.5017,0.5017
5.5500,33.0500,0.5000,0.5000
5.6000,33.0000,0.5000,0.5000
